127.0.0.1 - - [14/Mar/2017:14:46:57 +0100] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:46:58 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:46:58 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:46:58 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:46:58 +0100] "GET /ProxiBanqueSIv2/bgIndex.jpg HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:46:58 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:46:58 +0100] "GET /ProxiBanqueSIv2/css/image/bgIndex.jpg HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:04 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:04 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:04 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:04 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:04 +0100] "GET /ProxiBanqueSIv2/bgIndex.jpg HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:04 +0100] "GET /ProxiBanqueSIv2/css/image/bgIndex.jpg HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:04 +0100] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:19 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:19 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:19 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:19 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:19 +0100] "GET /ProxiBanqueSIv2/image/bgIndex.jpg HTTP/1.1" 200 265154
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:19 +0100] "GET /ProxiBanqueSIv2/css/image/bgIndex.jpg HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:38 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:38 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:38 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:38 +0100] "GET /ProxiBanqueSIv2/image/bgIndex.jpg HTTP/1.1" 200 265154
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:38 +0100] "GET /ProxiBanqueSIv2/css/image/bgIndex.jpg HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:47:38 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:06 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:06 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:06 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:06 +0100] "GET /ProxiBanqueSIv2/css/image/bgIndex.jpg HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:06 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:11 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:11 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:11 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:11 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:49:11 +0100] "GET /ProxiBanqueSIv2/css/image/bgIndex.jpg HTTP/1.1" 404 1079
