0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:34:40 +0100] "GET /ProxiBanqueSIv2/Login.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:36:09 +0100] "GET /ProxiBanqueSIv2/Login.jsp HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:36:09 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:36:09 +0100] "GET /ProxiBanqueSIv2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:36:09 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:36:09 +0100] "GET /ProxiBanqueSIv2/css/justified-nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:36:18 +0100] "POST /ProxiBanqueSIv2/LoginPage HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:38:00 +0100] "POST /ProxiBanqueSIv2/LoginPage HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:39:44 +0100] "GET /ProxiBanqueSIv2/index.html HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:39:49 +0100] "GET /ProxiBanqueSIv2/Login.jsp HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:39:50 +0100] "GET /ProxiBanqueSIv2/Login.jsp HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:39:58 +0100] "GET /ProxiBanqueSIv2/index.html HTTP/1.1" 404 1003
